iter	Passed	Remaining
224	3602	12407
225	3615	12383
226	3629	12360
227	3643	12336
228	3657	12313
229	3670	12289
230	3684	12266
231	3698	12243
232	3713	12222
233	3726	12199
234	3740	12177
235	3755	12157
236	3769	12135
237	3783	12113
238	3798	12093
239	3813	12074
240	3828	12058
241	3843	12039
242	3858	12021
243	3873	12001
244	3890	11988
245	3906	11972
246	3922	11957
247	3938	11941
248	3953	11925
249	3970	11912
250	3991	11909
251	4006	11893
252	4023	11878
253	4040	11867
254	4056	11850
255	4073	11837
256	4092	11832
257	4109	11819
258	4124	11798
259	4138	11780
260	4153	11759
261	4168	11740
262	4178	11708
263	4192	11688
264	4210	11676
265	4225	11660
266	4241	11643
267	4255	11623
268	4270	11603
269	4284	11584
270	4299	11565
271	4313	11545
272	4328	11525
273	4342	11507
274	4356	11485
275	4370	11464
276	4383	11440
277	4397	11419
278	4412	11402
279	4426	11381
280	4440	11362
281	4454	11342
282	4468	11322
283	4483	11304
284	4497	11283
285	4511	11264
286	4527	11247
287	4542	11229
288	4556	11209
289	4570	11190
290	4587	11176
291	4602	11158
292	4616	11140
293	4630	11119
294	4645	11102
295	4660	11083
296	4675	11066
297	4692	11054
298	4706	11034
299	4720	11014
300	4734	10993
301	4747	10973
302	4762	10955
303	4776	10935
304	4789	10914
305	4803	10895
306	4816	10873
307	4830	10854
308	4866	10883
309	4878	10858
310	4892	10838
311	4906	10818
312	4921	10801
313	4934	10779
314	4948	10760
315	4961	10740
316	4976	10721
317	4989	10699
318	5002	10680
319	5016	10661
320	5030	10641
321	5045	10624
322	5059	10603
323	5072	10583
324	5086	10563
325	5100	10544
326	5114	10525
327	5128	10506
328	5141	10486
329	5155	10467
330	5169	10448
331	5183	10429
332	5197	10409
333	5210	10390
334	5224	10370
335	5238	10352
336	5252	10334
337	5267	10316
338	5282	10300
339	5296	10280
340	5313	10268
341	5328	10252
342	5344	10236
343	5349	10201
344	5365	10186
345	5380	10169
346	5395	10153
347	5410	10137
348	5425	10120
349	5440	10103
350	5456	10088
351	5472	10073
352	5487	10058
353	5505	10046
354	5521	10032
355	5537	10017
356	5553	10002
357	5569	9987
358	5585	9973
359	5601	9958
360	5617	9943
361	5633	9927
362	5649	9913
363	5665	9899
364	5681	9883
365	5697	9869
366	5722	9870
367	5733	9846
368	5750	9834
369	5767	9819
370	5784	9806
371	5800	9792
372	5816	9777
373	5833	9763
374	5848	9748
375	5864	9731
376	5880	9717
377	5896	9702
378	5911	9686
379	5927	9671
380	5942	9655
381	5958	9640
382	5974	9625
383	5990	9609
384	6005	9592
385	6019	9575
386	6034	9559
387	6050	9543
388	6066	9528
389	6081	9512
390	6097	9496
391	6114	9482
392	6131	9469
393	6147	9454
394	6170	9450
395	6186	9435
396	6201	9420
397	6217	9404
398	6233	9389
399	6249	9374
400	6265	9359
401	6281	9344
402	6297	9328
403	6312	9312
404	6329	9298
